Nombre;medida;Precio
Cola Cao Cereal Pillows Chocolate;1 X 400 g;$3.450
Natur Cereal Original Maiz;300 g;$2.650
Cola Cao Cereal Mini Pillows Chocolate;1 X 400 g;$3.450
Quaker Cereal Quadritos De Avena;1 X 340 g;$2.790
Corn Flakes Kelloggs- Caja 18;500 g;$4.150
En Línea Cereal Bolitas Chocolate;1 X 330 g;$2.450
En Línea Cereal Hojuelas de Chocolate;1 X 330 g;$2.350
Milo Cereal Integral;1 X 800 g;$3.990
En Línea Cereal Proteína Bolitas de Chocolate ;1 X 300 g;$4.490
Cola Cao Cereal Pillows Mini Manjar;1 X 400 g;$3.550
Natur Cereal Trigo Inflado Bolsa;300 g;$2.650
Natur Cereal Natural Arroz;1 X 300 g;$2.650
Kelloggs-Froot Loops Caja 24;370 g;$4.750
Kelloggs-Zucaritas Caja 18;730 g;$6.350
Plátano;1 Kg;$2.090
Limones ;1 X 1 Kg;$2.590
Naranja;1 Kg;$1.590
Manzana Fuji ;1 Kg;$2.190
Mix de Piña y Mango picado;1 X 420 g;$2.990
Piña sin cascara;470 g;$3.390
Limón Sutil;1 Kg;$3.890
Pera de Agua;1 Kg;$1.690
Apio Juliana Ensalada lista;300 g;$1.390
Repollo Zanahoria Ensalada lista;300 g;$1.550
Pro verde Ensalada Toscana Lista;1 X 300 g;$1.390
Cebollas Crujientes para Ensaladas;1 Und;$1.690
Lechuga Escarola Ensalada lista;300 g;$1.490
Racimo de Albahaca fresca;1 Und;$1.790
Cilantro;1 x 120 g;$690
Carne de Vacuno Lomo Liso;350 g;$6.290
Carne Molida Especial;1 X 1 Und;$4.590
Carne de Vacuno Lomo Vetado;350 g;$8.590
CuracaRibs Medio Pollo Ahumado;600 g;$8.490
CuracaRibs Carne De Cerdo Ribs;1 Und;$13.990
Bodyguard Alcohol en Aerosol;1 X 100 mL;$2.590
Neutrogena Toallitas Desmaquillantes;1 Und;$2.590
Bodyguard Alcohol en Gel al 70%;60 mL;$1.610
Alcohol Gel Para Manos Con Nano Cobre 60 mL;60 mL;$1.990
Pepsodent Pasta Dental Action Triple Antibacterial;3 X 75 g;$2.410
Oral-B Hilo Dental Essential Floss;2 X 25 m;$2.142$3.570
Colgate Crema Dental Kids Sabor Frutilla;1 X 50 g;$930$1.550
Oral-B Kids Cepillo Dental Mickey;1 X 2 Und;$1.770$3.540
Pepsodent Cepillo de Dientes para Niños Ultra Suave;1 X 1 Und;$1.554$2.590
Colgate Crema Dental Total 12 Clean Mint;1 Und;$4.250
Reach Hilo Dental Expansion Plus Menta;1 X 50 m;$3.510
Colgate Crema Dental Luminous White Brilliant;1 X 140 g;$5.190
Colgate Hilo Dental Encerado;2 X 50 m;$2.175$4.350
Listerine Enjuague Bucal Anticaries Zero Alcohol;1 X 250 mL;$4.390
Sensodyne Pasta Dental Repara y Protege;1 X 100 g;$6.850
Colgate Cepillo Dental Justice League;1 X 2 Und;$2.905$4.150
PHB Cepillo Super 6 Adulto Sensible;1 X 1 Und;$3.350
Herbal Essences Acondicionador Golden Moringa;1 X 400 mL;$3.925$7.850
Pantene Pro-V Miracles Mascarilla;1 X 300 mL;$2.430$4.050
Sedal Shampoo Restauración Instantánea;1 X 340 mL;$1.470$2.450
Pantene Crema Peinar Rizos;300 mL;$2.430$4.050
Clear Shampoo para Hombres Control Caspa 2 en 1;1 X 400 mL;$2.010$3.350
Pantene  Crema para Peinar Repara Restauración ;1 X 300 mL;$2.430$4.050
Loreal Paris-Elvive Champú Violeta Matizador;1 X 200 g;$2.653$3.790
Loreal Kids Shampoo Manzanilla;265 mL;$3.150
Tio Nacho Acondicionador con Manzanilla Aclarante;1 X 415 mL;$7.650
Dove Shampoo Óleo Nutrición;400 mL;$3.590
Tio Nacho Shampoo Nutrición y Brillo Antiedad;1 X 415 mL;$4.554$7.590
Simonds Bálsamo Acondicionador Natural para Niños Manzanilla;1 X 400 Und;$2.290
Dove Acondicionador Regeneración Extrema;1 X 400 mL;$3.750
Head & Shoulders Shampoo Protección Caída con Cafeína;375 ml;$4.090
Tio Nacho Shampoo Anti Caida Aclarante;1 X 415 mL;$7.650
Dove Shampoo Regeneracion Extrema;1 X 400 mL;$3.760
Simonds Shampoo Baby Care Manzanilla ;1 X 400 mL;$2.290
Pantene Shampoo Micelar Purifica & Hidrata;400 mL;$3.990
Herbal Essences Acondicionador Shine Chamomile;1 X 400 mL;$5.390
Tio Nacho Shampoo Engrosador Volumen Capilar;1 X 415 mL;$4.554$7.590
Tio Nacho Shampoo Fortalecimiento Capilar Anti-Caída;1 X 415 mL;$7.650
Herbal Essences Tratamiento Capilar Aqua Oil con Aloe y Aceite de Argán;1 X 100 mL;$8.090
Familand Acondicionador Manzanilla;1 X 410 mL;$1.085$1.550
Herbal Essences Shampoo Brillo + Acondicionador;1 X 2 Und;$3.990
Loreal Paris-Elvive Acondicionador Colorvive Nutri-Filtro Uv;1 X 400 mL;$2.513$3.590
Loreal Paris-Elvive  Shampoo Reparación Total 5;1 X 400 mL;$2.513$3.590
Pantene Shampoo Restauración + Acondicionador;2 X 2 Und;$5.090
Lubriderm Crema Corporal Piel Normal Extra Humectante ;1 X 400 mL;$6.090
Lubriderm Crema Corporal Reparación Intensiva;1 Und;$7.060
Simonds Baby Protector Solar 50+ en Spray ;1 X 190 mL;$5.760
Simonds Protector Solar para Niños y Adultos en Spray SPF 50;100 mL;$2.490
Leblon Post Solar Aloe Vera;1 X 220 mL;$4.990
Nivea Men Desodorante en Roll On Invisible Black & White;1 X 50 g;$2.970
Garnier-Bi-O Antitranspirante Clarify en Roll On Mujer;50 mL;$2.790
Dove Antitranspirante Go Fresh Pepino y Té Verde;1 X 89 g;$3.090
Dove Antitranspirante Invisible Dry;1 X 150 mL;$3.250
Dove Men Antitranspirante en Spray Invisible Dry;1 X 150 mL;$3.390
Kotex Tampon Evolution Regular;8 Und;$2.620
Kotex Toallas Higiénicas Ultrafina Suave;1 X 16 Und;$2.390
Carefree Protectores diarios sin perfume;1 X 100 Und;$1.845$3.690
Nosotras Protector Diarios Largos;50 Und;$1.533$2.190
Kotex Protector Diario;1 X 100 Und;$3.090
Carefree Protectores diarios con perfume;1 X 100 Und;$3.490
Always Toalla Higienica Ultrafina Noche;8 Und;$1.589
Nosotras Protector Diario Normal ;1 Und;$1.974$3.290
Carefree Protector Diario Longs con Perfume;40 Und;$2.600
Kotex Toallas Femeninas Ultrafina Nocturna con Alas;1 X 15 Und;$2.390
Kotex Tampones Digitales Súper sin Aplicador;1 X 12 Und;$1.890
Veet Crema Depilatoria Pieles Sensibles Silk & Fresh;1 X 100 mL;$5.350
Veet Bandas Depilatorias Facial Piel Sensible 20Un;20 Und;$5.740
Millefiori Bandas Depilatorias Faciales;1 X 16 Und;$4.390
Gillette Maquina para Afeitar Venus Tropical;1 X 3 Und;$6.590
Nivea Men Espuma de Afeitar;1 X 200 mL;$5.350
Millefiori Bandas Depilatorias Piel Sensible;1 X 12 Und;$3.510$5.850
Millefiori Barra depilatoria Piel Sensible;43 g;$4.750
Gillette Espuma para Afeitar Foamy Piel Sensible;1 X 322 mL;$5.034$8.390
Millefiori Cera Depilatoria Corporal para Piel Normal;1 X 180 g;$3.745$5.350
Gillette Cartuchos para Afeitar Mach3;1 X 4 Und;$9.890
Skyn Preservativos Original Sensación Natural ;1 X 3 Und;$3.790
Lifestyles Condones Ultra Sensible Nuda;1 X 12 Und;$8.790
Juschek Test de Antígenos Covid-19 Nasal;1 X 1 Und;$11.990
Lifestyles Preservativos Rough Rider;1 X 3 Und;$2.190
Lifestyles Ultra Sensible Nuda;1 X 3 Und;$2.190
Lifestyles Preservativos Stimula x 3 Unidades;1 X 3 Und;$2.190
Band Aid ApósitosTransparente;40 Und;$3.690
Simonds Alcohol en Gel ;1 X 360 mL;$1.715$2.450
Durex: Preservativo Clasico;1 Und;$6.490
Test de Embarazo Hospifarma;1 Und;$4.990
Leblon Post Solar Aloe Vera;1 X 220 mL;$4.990
Difem Pharma Alcohol Desnaturalizado 70°;1 X 250 cc;$1.990
Kn95 Mascarilla Respiratoria 5 Capas Pack 20 Und.;1 Und;$4.990
Singclean Test Antígeno Covid19;1 Und;$9.990
Simonds Baby Protector Solar 50+ en Spray ;1 X 190 mL;$5.760
Simonds Protector Solar para Niños y Adultos en Spray SPF 50;100 mL;$2.490
Mascarillas 3 Pliegues Adulto Celeste;1 x 50 Und;$4.790
La Preferida Salame;100 g;$1.890
La Preferida Salchichas Vienesas Sin Piel;7 Und;$2.590
La Crianza Longanicilla De Campo;280 g;$3.250
La Preferida Chorizo Parrillero con Carne Angus;1 X 8 Und;$3.990
La Crianza Chorizo de Campo;1 X 420 g;$4.590
La Crianza Salchicha Cerdo;250 g;$1.650
La Preferida Paté Ternera;1 X 160 g;$950
La Preferida Salchicha Sureña x 5 Unidades;1 X 250 g;$1.850
La Preferida Tocino Sazonado y Ahumado;1 X 180 g;$3.250
Sopraval Pechuga de Pavo Cocida;1 X 250 g;$4.090
Sopraval Jamón de Pechuga Pavo Ahumada;250 g;$4.090
La Preferida Jamón Pierna;1 X 200 g;$3.090
La Preferida Jamon Serrano;80 g;$2.990
La Crianza Jamón Campestre de Pierna;1 X 200 g;$2.790
La Crianza Jamon Campestre Ahumado;1 X 200 g;$2.890
La Crianza Jamón De Pavo Ahumado Sabor Superior;1 X 150 g;$2.290
La Preferida Jamón Pierna;1 X 125 g;$2.090
La Preferida Pechuga Cocida de Pavo;1 X 125 g;$2.190
Sky Chefs Queque de Limon Trozo;70 g;$790
Sky Chefs Queque de Vainilla Trozo;60 g;$750
Mango Pastelería Muffin Vainilla Arándanos Sin Azúcar;110 g;$2.390
Mango Pasteleria Queque Vainilla Chips Chocolate Sin Azúcar 340 g;340 g;$4.990
Hips Mango Pastelería Muffin Vainilla C De Chocolate Sin Azúcar;110 g;$2.390
Mango Pasteleria Torta Panqueque de Naranja Sin Azúcar;260 g;$4.990
Mango Pasteleria 2 Cachitos Mil Hoja Sin Azúcar;120 g;$3.590
Breden Master Hallulla Especial ;1 X 30 Und;$5.090
Mont Blanc Harina con Polvos de Hornear;1 X 1 Kg;$1.050
Gourmet Chips de Chocolate;1 X 200 g;$3.590
Selecta Harina Integral;1 X 1 Kg;$1.650
Gourmet Coco Rallado Blanco;100 g;$790
Gourmet Cacao Amargo en Polvo;1 X 150 g;$1.390
Pro Chef Aceite Spray Oliva Light;1 X 225 mL;$6.190
Pancho Villa Tortilla Burrito Xl;350 g;$1.890
Pancho Villa Tortillas Mexicanas;1 X 10 Und;$1.890
Quaker Granola Miel Y Almendras;1 X 342 g;$2.150
Quaker Avena Integral Instantánea;1 X 750 g;$1.820
Vivo Cereal Granola Miel Y Almendras;370 g;$2.350
Quaker Avena Tradicional;1 X 750 g;$1.790
Vivo Avena Instantánea;1 X 800 g;$1.790
Nuestra Cocina Avena Instantánea;700 g;$1.650
En Línea Granola con Almendras sin Azúcar;1 X 320 g;$2.290
Costa Cereal Bar Barra de Cereal Sabor Chocolate;1 X 144 g;$1.490
En Línea Barra De Cereal Chocololate 6 U;15 g;$1.950
En Línea Barra Cereal Almendra Coco Sin Azucar;6 Und;$2.250
Nutella Crema Avellanas con Cacao y Leche;1 X 350 g;$7.150
En Línea Dulce de Leche Sin Azúcar;1 X 380 g;$3.710
Colun Manjar Tradicional ;1 X 1 Kg;$3.290
Enlinea Mermelada Sabor Durazno sin Azúcar;1 X 350 g;$1.850
En Línea Mermelada Sin Azucar Sabor Durazno Frasco;320 g;$2.750
La Preferida Paté Ternera;1 X 160 g;$950
En Línea Mermelada Sin Azucar Sabor Mora Frasco D5934;320 g;$2.750
En Línea Mermelada de Mora sin Azúcar Añadida;1 X 350 g;$1.850
Nescafé Coffee Mate Original;1 X 435 g;$3.250
Café D' Aroma Café en Grano Mezcla Excelso;1 X 250 g;$3.990
Ecco Café a Base de Cereal;1 X 170 g;$1.528$2.350
Nescafé Cafe Fina Selección Liofilizado;1 X 200 g;$7.720
Nescafé Café Instantáneo Tradición;1 X 400 g;$10.190
Nescafé Café Instantáneo Espresso;1 X 100 g;$6.950
Dolce Gusto Cápsulas de Café Espresso Intenso;1 X 16 Und;$6.550
Nescafé Café Fina Selección Alta Rica;1 X 100 g;$6.950
Café Daroma Cafe Daroma En Grano Mezcla Forte;250 g;$3.100
Café Daroma en Grano Mezcla Excelso;1 X 250 g;$3.990
Dolce Gusto Cápsula de Café Americano;1 X 16 Und;$6.550
Café Daroma Café Molido Forte;1 X 250 g;$3.100
Dolce Gusto Cafe Cappuccino Skinny;162 g;$6.780
Supremo Infusión de Té de Manzanilla ;1 X 20 Und;$1.020
Twinings Infusión de Manzanilla Pura;1 X 10 Und;$2.590
Twinings of London Té Indian Chai;1 X 20 g;$2.590
Twinings Te Earl Grey 50 Bol;1 Und;$6.450
Supremo Té Ceylán Premium;1 X 200 g;$3.850
Twinings Te English Breakfast 50Un;50 Und;$6.450
Twinings Infusión Puré Menta;1 X 10 Und;$2.590
Té Superior Ceylon Bolsa;1 X 500 g;$5.790
Twinings Infusiones Sabor Limón y Jengibre;1 X 10 Und;$2.590
Supremo Té Ceylán Aromatizado Sabor Canela;1 X 20 Und;$1.650
Lipton Té Negro Yellow Label ;1 X 100 Und;$4.150
Scott Papel Higiénico Rindemax Doble Hoja ;1 X 4 Und;$1.400$1.750
Scott Papel Higiénico Rindemax;1 X 8 Und;$3.240$4.050
Supreme Hellmann'S Mayonesa Clásica;1 X 744 g;$3.038$4.050
Oral-B Hilo Dental Essential Floss;2 X 25 m;$2.142$3.570
Herbal Essences Acondicionador Golden Moringa;1 X 400 mL;$3.925$7.850
Pantene Pro-V Miracles Mascarilla;1 X 300 mL;$2.430$4.050
Colgate Crema Dental Kids Sabor Frutilla;1 X 50 g;$930$1.550
Ecco Café a Base de Cereal;1 X 170 g;$1.528$2.350
Sedal Shampoo Restauración Instantánea;1 X 340 mL;$1.470$2.450
Carefree Protectores diarios sin perfume;1 X 100 Und;$1.845$3.690
Cat Chow Alim Gato Adulto Delimix;1 X 8 Kg;$13.914$23.190
Barilla Spaghetti N°5 Integral;500 g;$1.879$2.890
Simonds Alcohol en Gel ;1 X 360 mL;$1.715$2.450
Nosotras Protector Diarios Largos;50 Und;$1.533$2.190
Oral-B Kids Cepillo Dental Mickey;1 X 2 Und;$1.770$3.540
Pantene Crema Peinar Rizos;300 mL;$2.430$4.050
Rexona Jabón Líquido Antibacterial Original;1 X 750 mL;$2.163$3.090
Clear Shampoo para Hombres Control Caspa 2 en 1;1 X 400 mL;$2.010$3.350
Pantene  Crema para Peinar Repara Restauración ;1 X 300 mL;$2.430$4.050
Loreal Paris-Elvive Champú Violeta Matizador;1 X 200 g;$2.653$3.790
Nestlé Trencito Chocolate de Leche;1 X 150 g;$2.250
Colun Mantequilla con Sal;1 X 250 g;$2.290
Sprite Zero Bebida;1.5 L;$1.950
Marlboro Cigarrillos Touch;1 X 20 Und;$3.500
Coca-Cola Original Gaseosa;1.5 L;$1.950
Yemita Huevo Grande Blanco;1 X 12 Und;$2.390
Lucky Strike Cigarrillo Purple Wild;1 X 20 Und;$4.700
Filtros Slim Premier; X 1 Und;$1.200
Lay´s Papas Fritas Artesanas Original;1 X 185 g;$1.850
Gatorade Bebida Isotonica Cool Blue;1 L;$1.450
Coca-Cola Light - Gaseosa;1 X 1.5 L;$1.950
Coca-Cola Sin Azucar - Gaseosa 350 mL;350 mL;$890
Punto Azul Lechuga Escarola;1 X 1 Und;$950
Guallarauco Jugo de Naranja Libre de Azúcar ;1 X 1 L;$1.850
Kent Up Cigarrillos Silver;1 X 20 Und;$4.400
Kent Up Cigarrillos  White ;1 X 20 Und;$4.400
Rock Hielo;1 X 2 Kg;$1.250
Breden Master Pan Marraqueta Bolsa;10 Und;$3.790
Franuí Frambuesas Bañadas en Chocolate ;1 X 150 g;$4.990
Marlboro Cigarros Crafted Blue Box ;1 X 20 Und;$3.000
Naranja;1 Kg;$1.590
Lucky Strike Cigarrillos Click & Roll;1 Und;$4.600
Coca-Cola Sin Azucar Zero;1 X 1.5 L;$1.950
La Granja Huevo Grande Color Gallina Libre ;12 Und;$3.490
Franuí Frambuesas Bañadas de Chocolate Leche y Chocolate Blanco;1 X 150 g;$4.990
Benedictino Agua sin Gas;1 X 2 L;$950
Sky Chefs Muffin De Arandano 1 unidad;100 g;$950
Sky Chefs Croissant Jamon Queso;170 g;$1.990
Sopraval Pechuga de Pavo Cocida;1 X 250 g;$4.090
Sky Chefs Queque de Limon Trozo;70 g;$790
Sky Chefs Queque de Vainilla Trozo;60 g;$750
Sopraval Jamón de Pechuga Pavo Ahumada;250 g;$4.090
La Preferida Salame;100 g;$1.890
La Preferida Jamón Pierna;1 X 200 g;$3.090
Colun Quesillo Light Pote;320 g;$2.090
La Preferida Paté Ternera;1 X 160 g;$950
Sky Chefs Muffin De Arandano 1 unidad;100 g;$950
Sky Chefs Croissant Jamon Queso;170 g;$1.990
Sky Chefs Wrap De Plateada;198 g;$2.750
Kitchenita Ciabatta Serrano Brie más Shot;1 Und;$4.390
Sky Chefs Wrap de Pollo;233 g;$3.350
Sky Chefs Queque de Limon Trozo;70 g;$790
Sky Chefs Queque de Vainilla Trozo;60 g;$750
Franuí Frambuesas Bañadas de Chocolate Leche y Chocolate Blanco;1 X 150 g;$4.990
Franuí Frambuesas Bañadas en Chocolate ;1 X 150 g;$4.990
La Crianza Pizza Pepperoni;1 X 1 Und;$5.950
Cola Cao Instantaneo Bolsa;750 g;$5.190
Milo Saborizante Fortificado Actigen Stabilo 1 Kg;1000 g;$9.550
Cola Cao Sabor Chocolate Con Stevia;350 g;$4.750
Milo Alimento Fortificado Sabor Chocolate;500 g;$5.350
Not Milk Bebida Vegetal Sabor Chocolate;1 X 1 L;$2.540
Loncoleche Bebida de Soya 100%Vegetal ;1 X 1 L;$3.250
Colun Leche Semidescremada Caja;1 L;$950
Surlat Leche Sin Lactosa Descremada;1 L;$1.250
Loncoleche Leche Sin Lactosa Descremada;1 L;$1.390
Colun Leche Descremada Sin Tapa;1 L;$1.250
Loncoleche Leche Entera Caja;1 L;$990
Not Milk Bebida Vegetal Sabor Chocolate;1 X 1 L;$2.540
Svelty Leche Polvo Descremada;800 g;$6.250
Calo Leche Instantanea Bolsa;900 g;$5.150
Svelty Leche Sin Lactosa;800 g;$7.490
Colun Leche en Polvo Entera ;1 X 900 g;$5.090
Colun Yoghurt Light de Frutilla;1 X 125 g;$290
Colun Yoghurt Light Sabor Vainilla ;1 X 125 g;$290
Colun Yogurt Light Natural Pote;125 g;$290
Colun Yogurt con Proteína Plus Sabor a Maracuyá;1 X 190 g;$960
Colun Yogurt Protein Plus Sabor Chirimoya;1 X 190 g;$960
Colun Yoghurt Protein Plus Sabor a Frutilla;1 X 190 g;$960
Colun Yogurt Protein Plus 11 Vainilla Squeeze;150 g;$550
Colun Yogurt Protein Plus Squeeze Frutilla;150 g;$550
Colun Yoghurt Protein Plus Prob Natural;130 g;$530
Colun Yoghurt Protein Plus Prob Sabor Frutilla;1 X 130 g;$530
Nestlé Crema de Leche;1 X 200 mL;$990
Colun Crema de Leche;1 X 200 mL;$990
Loncoleche Crema de Leche Sin Lactosa;1 X 200 mL;$1.320
Colun Queso Fresco Light Sin Lactosa;400 g;$2.090
Rio Bueno Queso Chacra;1 X 400 g;$1.990
Colun Quesillo Light Pote;320 g;$2.090
Colun Quesillo Regular ;1 X 320 g;$1.950
Colun Queso Fino Rallado Parmesano ;1 X 80 g;$1.690
Colun Mantequilla con Sal;1 X 250 g;$2.290
Colun Mantequilla sin Sal;1 X 250 g;$2.550
Colun Mantequilla con Sal;1 X 200 g;$2.490
Yemita Huevo Grande Blanco;1 X 12 Und;$2.390
La Granja Huevo Grande Color Gallina Libre ;12 Und;$3.490
Bic Lápiz Pasta Azul Punta Fina;1 Und;$390
Torre Cartulina Española;1 Und;$1.890
Tesa Cinta Adhesiva Para Escritorio 18 mm x 20 m;1 Und;$990
Tesa Nota Adhesiva 75 x 75 mm;1 x 100 Und;$990
Faber Castell Destacador Amarillo ;1 Und;$1.090
Torre 12 Lapices de Colores Largos con Sacapunta;1 Und;$1.690
Torre Goma de Borrar Miga Grande Soft;1 Und;$690
La Crianza Choclos Tiernos;1 X 400 g;$1.990
La Crianza Esparrago Congelados;350 g;$3.390
Frutos Del Maipo Cebolla en Cubo;1 X 150 g;$650
Frutos Del Maipo Papa Pre Frita;1 Kg;$3.390
Super Pollo Filetitos de Pechuga;1 X 700 g;$5.690
Super Pollo Pechuga Pollo Deshuesada;1 X 700 g;$5.450
Aqua Lomo de Salmón Natural;85 g;$1.050
Super Cerdo Carne Malaya;1 X 900 g;$9.990
Aqua Rollitos de Salmón Atlántico ;1 X 400 g;$3.990
Aqua Chile Filete Salmón;1 X 500 g;$7.990
Super Cerdo Entraña de Cerdo;800 g;$9.650
Super Cerdo Costillitas de Baby Back Ribs;1 X 1 Kg;$15.990
Sopraval Bistec Pechuga de Pavo Marinado;1 X 700 g;$5.790
La Crianza Hamburguesa Carne de Vacuno;100 g;$990
La Crianza Pizza Pepperoni;1 X 1 Und;$5.950
La Crianza Nugget De Pollo Premiun;400 g;$3.190
BredenMaster Empanada Pino Casera ;1 X 2 Und;$4.990
La Crianza  Hamburguesa de Carne de Soya;100 g;$790
La Crianza Hamburguesa Carne de Mastodonte;185 g;$1.850
La Crianza Empanadas de Aceituna y Queso;1 X 10 Und;$6.890
La Crianza Hamburguesa Carne de Vacuno Caja;1 Kg;$8.990
La Crianza Nuggets de Verduras;1 X 400 g;$3.150
Aqua Nuggets de Salmón Atlántico;1 X 400 g;$3.990
Scott Papel Higiénico Rindemax Doble Hoja ;1 X 4 Und;$1.400$1.750
Scott Papel Higiénico Rindemax;1 X 8 Und;$3.240$4.050
Supreme Hellmann'S Mayonesa Clásica;1 X 744 g;$3.038$4.050
Oral-B Hilo Dental Essential Floss;2 X 25 m;$2.142$3.570
Herbal Essences Acondicionador Golden Moringa;1 X 400 mL;$3.925$7.850
Pantene Pro-V Miracles Mascarilla;1 X 300 mL;$2.430$4.050
Colgate Crema Dental Kids Sabor Frutilla;1 X 50 g;$930$1.550
Ecco Café a Base de Cereal;1 X 170 g;$1.528$2.350
Sedal Shampoo Restauración Instantánea;1 X 340 mL;$1.470$2.450
Carefree Protectores diarios sin perfume;1 X 100 Und;$1.845$3.690
Cat Chow Alim Gato Adulto Delimix;1 X 8 Kg;$13.914$23.190
Barilla Spaghetti N°5 Integral;500 g;$1.879$2.890
Simonds Alcohol en Gel ;1 X 360 mL;$1.715$2.450
Nosotras Protector Diarios Largos;50 Und;$1.533$2.190
Oral-B Kids Cepillo Dental Mickey;1 X 2 Und;$1.770$3.540
Pantene Crema Peinar Rizos;300 mL;$2.430$4.050
Rexona Jabón Líquido Antibacterial Original;1 X 750 mL;$2.163$3.090
Clear Shampoo para Hombres Control Caspa 2 en 1;1 X 400 mL;$2.010$3.350
Pantene  Crema para Peinar Repara Restauración ;1 X 300 mL;$2.430$4.050
Loreal Paris-Elvive Champú Violeta Matizador;1 X 200 g;$2.653$3.790
Nestlé Trencito Chocolate de Leche;1 X 150 g;$2.250
Colun Mantequilla con Sal;1 X 250 g;$2.290
Sprite Zero Bebida;1.5 L;$1.950
Marlboro Cigarrillos Touch;1 X 20 Und;$3.500
Coca-Cola Original Gaseosa;1.5 L;$1.950
Yemita Huevo Grande Blanco;1 X 12 Und;$2.390
Lucky Strike Cigarrillo Purple Wild;1 X 20 Und;$4.700
Filtros Slim Premier; X 1 Und;$1.200
Lay´s Papas Fritas Artesanas Original;1 X 185 g;$1.850
Gatorade Bebida Isotonica Cool Blue;1 L;$1.450
Coca-Cola Light - Gaseosa;1 X 1.5 L;$1.950
Coca-Cola Sin Azucar - Gaseosa 350 mL;350 mL;$890
Punto Azul Lechuga Escarola;1 X 1 Und;$950
Guallarauco Jugo de Naranja Libre de Azúcar ;1 X 1 L;$1.850
Kent Up Cigarrillos Silver;1 X 20 Und;$4.400
Kent Up Cigarrillos  White ;1 X 20 Und;$4.400
Rock Hielo;1 X 2 Kg;$1.250
Breden Master Pan Marraqueta Bolsa;10 Und;$3.790
Franuí Frambuesas Bañadas en Chocolate ;1 X 150 g;$4.990
Marlboro Cigarros Crafted Blue Box ;1 X 20 Und;$3.000
Naranja;1 Kg;$1.590
Lucky Strike Cigarrillos Click & Roll;1 Und;$4.600
Coca-Cola Sin Azucar Zero;1 X 1.5 L;$1.950
La Granja Huevo Grande Color Gallina Libre ;12 Und;$3.490
Franuí Frambuesas Bañadas de Chocolate Leche y Chocolate Blanco;1 X 150 g;$4.990
Benedictino Agua sin Gas;1 X 2 L;$950
Sky Chefs Muffin De Arandano 1 unidad;100 g;$950
Sky Chefs Croissant Jamon Queso;170 g;$1.990
